symbol_x,symbol_y
M6PR,PLIN3
VAMP3,PLIN3
IGF2R,PLIN3
RABEPK,PLIN3
RHOBTB3,PLIN3
RAB9A,PLIN3
HSPA8,PLIN3
M6PR,IGF2R
PLIN3,IGF2R
DPP4,IGF2R
PLAU,IGF2R
GGA1,IGF2R
IGF1,IGF2R
VTI1A,IGF2R
INS,IGF2R
IGF2,IGF2R
GGA3,IGF2R
M6PR,GGA1
SORT1,GGA1
SORL1,GGA1
GGA2,GGA1
BACE1,GGA1
IGF2R,GGA1
RABGEF1,GGA1
CCDC91,GGA1
GGA3,GGA1
ARF1,GGA1
RABEP1,GGA1
CLTC,GGA1
M6PR,GGA3
RPS27A,GGA3
ARF6,GGA3
GGA2,GGA3
BACE1,GGA3
IGF2R,GGA3
GGA1,GGA3
UBA52,GGA3
ARF1,GGA3
UBC,GGA3
RABEP1,GGA3
UBB,GGA3
FKBP4,CHUK
TNFRSF1A,CHUK
TAB1,CHUK
CDC37,CHUK
NFKB1,CHUK
GPR83,CHUK
TRAF2,CHUK
RIPK1,CHUK
SMAD2,CHUK
NLRC5,CHUK
LRRC14,CHUK
IKBIP,CHUK
PYDC1,CHUK
TBK1,CHUK
SMAD3,CHUK
HSP90AA1,CHUK
TRADD,CHUK
CASP8,CHUK
ERC1,CHUK
MAP3K7,CHUK
NFKB2,CHUK
IRAK1,CHUK
HSP90AB1,CHUK
ELP1,CHUK
TRIM27,CHUK
TRAF3,CHUK
CARD11,CHUK
IRF7,CHUK
RELA,CHUK
TNF,CHUK
MAVS,CHUK
SPATA2,CHUK
IKBKB,CHUK
TRAF6,CHUK
FKBP5,CHUK
AKT1,CHUK
IKBKE,CHUK
MYC,CHUK
IRAK4,CHUK
MAP3K14,CHUK
IKBKG,CHUK
BCL10,CHUK
MYD88,CHUK
FKBP4,PPID
TP53,PPID
SLC25A31,PPID
SLC25A4,PPID
ATP5PO,PPID
HSPA4,PPID
HSP90AA1,PPID
HSP90AB1,PPID
SLC25A5,PPID
VDAC2,PPID
AGO1,PPID
SLC25A6,PPID
VDAC1,PPID
ESR1,PPID
PPIA,PPID
VDAC3,PPID
PTGES3,PPID
FKBP4,PGR
FOXA1,PGR
NCOR1,PGR
STAT5B,PGR
HSPA4,PGR
HSP90AA1,PGR
STAT5A,PGR
CUEDC2,PGR
HSP90AB1,PGR
NCOA3,PGR
SRC,PGR
KLF9,PGR
NCOR2,PGR
NCOA1,PGR
ESR1,PGR
FGFR2,PGR
FKBP5,PGR
PTGES3,PGR
FKBP4,FKBP5
NR3C1,FKBP5
DNAJB1,FKBP5
PHLPP1,FKBP5
BCL2A1,FKBP5
HSPA4,FKBP5
PGR,FKBP5
HSP90AA1,FKBP5
MAPT,FKBP5
STIP1,FKBP5
MTOR,FKBP5
CHUK,FKBP5
HSP90AB1,FKBP5
ESR1,FKBP5
HSPA8,FKBP5
AKT1,FKBP5
PTGES3,FKBP5
FKBP4,ESR1
KDM4B,ESR1
CSK,ESR1
DDX5,ESR1
NFKB1,ESR1
CCND1,ESR1
TBP,ESR1
NR3C1,ESR1
FOXA1,ESR1
ESS2,ESR1
SAFB2,ESR1
NR0B2,ESR1
BARD1,ESR1
CREBBP,ESR1
EP300,ESR1
STRN,ESR1
PIK3CA,ESR1
TXNDC9,ESR1
STAT3,ESR1
PPARGC1A,ESR1
NCOR1,ESR1
TP53,ESR1
EGFR,ESR1
GRM1,ESR1
GTF2E1,ESR1
ATAD2,ESR1
CALM3,ESR1
MED1,ESR1
PELP1,ESR1
PPID,ESR1
CALML6,ESR1
IRS1,ESR1
FOS,ESR1
SP3,ESR1
CALML3,ESR1
EZH2,ESR1
MED14,ESR1
SMARCE1,ESR1
PGR,ESR1
CARM1,ESR1
NRIP1,ESR1
SP1,ESR1
MTA1,ESR1
HSP90AA1,ESR1
MEN1,ESR1
EBAG9,ESR1
CAV1,ESR1
NELFB,ESR1
KAT5,ESR1
TRIM24,ESR1
GTF2F2,ESR1
SFN,ESR1
PTK2,ESR1
ERBB4,ESR1
ESR2,ESR1
FN1,ESR1
ARNT,ESR1
FCGR1A,ESR1
GTF2B,ESR1
JUN,ESR1
HSP90AB1,ESR1
NCOA3,ESR1
YWHAB,ESR1
HDAC1,ESR1
SRC,ESR1
AR,ESR1
GATA3,ESR1
FOXO1,ESR1
CALML5,ESR1
GREB1,ESR1
TDG,ESR1
IGF1,ESR1
DDX17,ESR1
KDM1A,ESR1
NCOR2,ESR1
RELA,ESR1
ESRRA,ESR1
NCOA1,ESR1
BCAR1,ESR1
CHD9,ESR1
NCOA2,ESR1
GNA13,ESR1
SHC1,ESR1
RBFOX2,ESR1
BRCA1,ESR1
CALML4,ESR1
SMYD3,ESR1
DROSHA,ESR1
PIK3R1,ESR1
